"Measurement" "Activity" "Subject" "Mean"
"fBodyAccelerationSignal-mean()-X" "SITTING" 17 -0.9939693815625
"fBodyAccelerationSignal-mean()-X" "SITTING" 18 -0.993144920175439
"fBodyAccelerationSignal-mean()-X" "SITTING" 19 -0.979238031780822
"fBodyAccelerationSignal-mean()-X" "SITTING" 20 -0.981203064242424
"fBodyAccelerationSignal-mean()-X" "SITTING" 21 -0.990610228
"fBodyAccelerationSignal-mean()-X" "SITTING" 22 -0.978505368225806
"fBodyAccelerationSignal-mean()-X" "SITTING" 23 -0.986325670882353
"fBodyAccelerationSignal-mean()-X" "SITTING" 24 -0.989529506764706
"fBodyAccelerationSignal-mean()-X" "SITTING" 25 -0.991405498153846
"fBodyAccelerationSignal-mean()-X" "SITTING" 26 -0.982579546025641
"fBodyAccelerationSignal-mean()-X" "SITTING" 27 -0.988682108428571
"fBodyAccelerationSignal-mean()-X" "SITTING" 28 -0.979820142638889
"fBodyAccelerationSignal-mean()-X" "SITTING" 29 -0.991093963666667
"fBodyAccelerationSignal-mean()-X" "SITTING" 30 -0.985008785
"fBodyAccelerationSignal-mean()-X" "STANDING" 1 -0.995249932641509
"fBodyAccelerationSignal-mean()-X" "STANDING" 2 -0.983946739814815
"fBodyAccelerationSignal-mean()-X" "STANDING" 3 -0.960123409508197
"fBodyAccelerationSignal-mean()-X" "STANDING" 4 -0.973497549642857
"fBodyAccelerationSignal-mean()-X" "STANDING" 5 -0.964500917321429
"fBodyAccelerationSignal-mean()-X" "STANDING" 6 -0.977100287368421
"fBodyAccelerationSignal-mean()-X" "STANDING" 7 -0.976681834339623
"fBodyAccelerationSignal-mean()-X" "STANDING" 8 -0.988219862222222
"fBodyAccelerationSignal-mean()-X" "STANDING" 9 -0.971662692
"fBodyAccelerationSignal-mean()-X" "STANDING" 10 -0.970099814318182
"fBodyAccelerationSignal-mean()-X" "STANDING" 11 -0.993808050638298
"fBodyAccelerationSignal-mean()-X" "STANDING" 12 -0.976469472295082
"fBodyAccelerationSignal-mean()-X" "STANDING" 13 -0.989425965614035
"fBodyAccelerationSignal-mean()-X" "STANDING" 14 -0.9726995625
"fBodyAccelerationSignal-mean()-X" "STANDING" 15 -0.986724998867925
"fBodyAccelerationSignal-mean()-X" "STANDING" 16 -0.989427670897436
"fBodyAccelerationSignal-mean()-X" "STANDING" 17 -0.990927533846154
"fBodyAccelerationSignal-mean()-X" "STANDING" 18 -0.990409919315068
"fBodyAccelerationSignal-mean()-X" "STANDING" 19 -0.987352048356164
"fBodyAccelerationSignal-mean()-X" "STANDING" 20 -0.96193272890411
"fBodyAccelerationSignal-mean()-X" "STANDING" 21 -0.978327686179775
"fBodyAccelerationSignal-mean()-X" "STANDING" 22 -0.980373909206349
"fBodyAccelerationSignal-mean()-X" "STANDING" 23 -0.983627197058824
"fBodyAccelerationSignal-mean()-X" "STANDING" 24 -0.984183633623188
"fBodyAccelerationSignal-mean()-X" "STANDING" 25 -0.990093202837838
"fBodyAccelerationSignal-mean()-X" "STANDING" 26 -0.991993372297297
"fBodyAccelerationSignal-mean()-X" "STANDING" 27 -0.99012181225
"fBodyAccelerationSignal-mean()-X" "STANDING" 28 -0.97251980164557
"fBodyAccelerationSignal-mean()-X" "STANDING" 29 -0.995024039692308
"fBodyAccelerationSignal-mean()-X" "STANDING" 30 -0.972014050847458
"fBodyAccelerationSignal-mean()-X" "WALKING" 1 -0.202794306326316
"fBodyAccelerationSignal-mean()-X" "WALKING" 2 -0.346048161016949
"fBodyAccelerationSignal-mean()-X" "WALKING" 3 -0.316614011689655
"fBodyAccelerationSignal-mean()-X" "WALKING" 4 -0.426719449666667
"fBodyAccelerationSignal-mean()-X" "WALKING" 5 -0.287782607410714
"fBodyAccelerationSignal-mean()-X" "WALKING" 6 -0.187934323140351
"fBodyAccelerationSignal-mean()-X" "WALKING" 7 -0.343048405789474
"fBodyAccelerationSignal-mean()-X" "WALKING" 8 -0.247389011875
"fBodyAccelerationSignal-mean()-X" "WALKING" 9 -0.294711163653846
"fBodyAccelerationSignal-mean()-X" "WALKING" 10 -0.114190001283019
"fBodyAccelerationSignal-mean()-X" "WALKING" 11 -0.396533731864407
"fBodyAccelerationSignal-mean()-X" "WALKING" 12 -0.05435763951
"fBodyAccelerationSignal-mean()-X" "WALKING" 13 -0.335030121052632
"fBodyAccelerationSignal-mean()-X" "WALKING" 14 -0.421498172542373
"fBodyAccelerationSignal-mean()-X" "WALKING" 15 -0.31744092037037
"fBodyAccelerationSignal-mean()-X" "WALKING" 16 -0.394790433529412
"fBodyAccelerationSignal-mean()-X" "WALKING" 17 -0.360991674918033
"fBodyAccelerationSignal-mean()-X" "WALKING" 18 -0.37147515625
"fBodyAccelerationSignal-mean()-X" "WALKING" 19 -0.0299815666923077
"fBodyAccelerationSignal-mean()-X" "WALKING" 20 -0.147404272166667
"fBodyAccelerationSignal-mean()-X" "WALKING" 21 -0.273496158519231
"fBodyAccelerationSignal-mean()-X" "WALKING" 22 -0.0994928588891304
"fBodyAccelerationSignal-mean()-X" "WALKING" 23 -0.275404187920339
"fBodyAccelerationSignal-mean()-X" "WALKING" 24 -0.492419802586207
"fBodyAccelerationSignal-mean()-X" "WALKING" 25 -0.609038908918919
"fBodyAccelerationSignal-mean()-X" "WALKING" 26 -0.321959549661017
"fBodyAccelerationSignal-mean()-X" "WALKING" 27 -0.308702374385965
"fBodyAccelerationSignal-mean()-X" "WALKING" 28 -0.280062182962963
"fBodyAccelerationSignal-mean()-X" "WALKING" 29 -0.135819505761321
"fBodyAccelerationSignal-mean()-X" "WALKING" 30 -0.351402910907692
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 1 0.0382291831510204
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 2 0.112841160325532
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 3 -0.0421706943244898
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 4 -0.0722392276888889
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 5 0.0984320090212766
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 6 0.328308506041667
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 7 0.0443428315319149
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 8 0.136590199860526
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 9 0.103128506197619
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 10 0.215665273157895
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 11 0.0351937228130435
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 12 0.0235049348717391
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 13 -0.0726602663212766
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 14 0.0212541553977778
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 15 0.235309825547619
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 16 0.0368263528276596
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 17 -0.0226239171245652
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 18 -0.350086793272727
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 19 0.537012022051282
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 20 -0.0343309987555556
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 21 0.104323529982222
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 22 0.195348406222222
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 23 0.205428216353704
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 24 -0.222324293454545
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 25 -0.372245192931034
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 26 0.022800096142
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 27 0.0829831545090909
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 28 0.0890721752173913
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 29 0.110663200244167
"fBodyAccelerationSignal-mean()-X" "WALKING_DOWNSTAIRS" 30 -0.106966957087097
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 1 -0.404321784150943
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 2 -0.266720933270833
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 3 -0.392004211474576
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 4 -0.294488270365385
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 5 -0.161485339978723
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 6 -0.131075372803922
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 7 -0.336199426470588
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 8 -0.166411065387805
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 9 -0.342735952653061
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 10 -0.139410790617021
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 11 -0.355348902222222
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 12 -0.321447925192308
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 13 -0.382460736363636
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 14 -0.323508442240741
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 15 -0.0746328434375
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 16 -0.474984014705882
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 17 -0.1397522212625
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 18 -0.465097261896552
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 19 -0.15687949467775
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 20 -0.140439074776471
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 21 -0.319169340234043
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 22 -0.0553996485285714
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 23 -0.272605689568627
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 24 -0.395790553898305
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 25 -0.521649838769231
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 26 -0.242820756127273
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 27 -0.417607401176471
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 28 -0.266101343372549
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 29 -0.109793480008163
"fBodyAccelerationSignal-mean()-X" "WALKING_UPSTAIRS" 30 -0.420402828153846
"fBodyAccelerationSignal-mean()-Y" "LAYING" 1 -0.86706520518
"fBodyAccelerationSignal-mean()-Y" "LAYING" 2 -0.979800877916667
"fBodyAccelerationSignal-mean()-Y" "LAYING" 3 -0.961169982903226
"fBodyAccelerationSignal-mean()-Y" "LAYING" 4 -0.938883374444444
"fBodyAccelerationSignal-mean()-Y" "LAYING" 5 -0.965419520961538
"fBodyAccelerationSignal-mean()-Y" "LAYING" 6 -0.923706791403509
"fBodyAccelerationSignal-mean()-Y" "LAYING" 7 -0.942193953846154
"fBodyAccelerationSignal-mean()-Y" "LAYING" 8 -0.951816663703704
"fBodyAccelerationSignal-mean()-Y" "LAYING" 9 -0.9343665984
"fBodyAccelerationSignal-mean()-Y" "LAYING" 10 -0.954341849137931
"fBodyAccelerationSignal-mean()-Y" "LAYING" 11 -0.971403935438596
"fBodyAccelerationSignal-mean()-Y" "LAYING" 12 -0.951265971
"fBodyAccelerationSignal-mean()-Y" "LAYING" 13 -0.965843757258064
"fBodyAccelerationSignal-mean()-Y" "LAYING" 14 -0.930366906078431
"fBodyAccelerationSignal-mean()-Y" "LAYING" 15 -0.962461124305556
"fBodyAccelerationSignal-mean()-Y" "LAYING" 16 -0.963635575142857
"fBodyAccelerationSignal-mean()-Y" "LAYING" 17 -0.954648102253521
"fBodyAccelerationSignal-mean()-Y" "LAYING" 18 -0.984909884615385
"fBodyAccelerationSignal-mean()-Y" "LAYING" 19 -0.972798824096386
"fBodyAccelerationSignal-mean()-Y" "LAYING" 20 -0.965595958382353
"fBodyAccelerationSignal-mean()-Y" "LAYING" 21 -0.960069247
"fBodyAccelerationSignal-mean()-Y" "LAYING" 22 -0.925524703472222
"fBodyAccelerationSignal-mean()-Y" "LAYING" 23 -0.982072295833333
"fBodyAccelerationSignal-mean()-Y" "LAYING" 24 -0.980830362083333
"fBodyAccelerationSignal-mean()-Y" "LAYING" 25 -0.78494581909589
"fBodyAccelerationSignal-mean()-Y" "LAYING" 26 -0.983664034342105
"fBodyAccelerationSignal-mean()-Y" "LAYING" 27 -0.982915951891892
"fBodyAccelerationSignal-mean()-Y" "LAYING" 28 -0.958436369
"fBodyAccelerationSignal-mean()-Y" "LAYING" 29 -0.989034304057971
"fBodyAccelerationSignal-mean()-Y" "LAYING" 30 -0.959974274571429
"fBodyAccelerationSignal-mean()-Y" "SITTING" 1 -0.944084550425532
"fBodyAccelerationSignal-mean()-Y" "SITTING" 2 -0.957343498478261
"fBodyAccelerationSignal-mean()-Y" "SITTING" 3 -0.891907751346154
"fBodyAccelerationSignal-mean()-Y" "SITTING" 4 -0.9057829318
"fBodyAccelerationSignal-mean()-Y" "SITTING" 5 -0.921434735681818
"fBodyAccelerationSignal-mean()-Y" "SITTING" 6 -0.928264365454545
"fBodyAccelerationSignal-mean()-Y" "SITTING" 7 -0.93149063375
"fBodyAccelerationSignal-mean()-Y" "SITTING" 8 -0.94421971826087
"fBodyAccelerationSignal-mean()-Y" "SITTING" 9 -0.911683219
"fBodyAccelerationSignal-mean()-Y" "SITTING" 10 -0.9404502
"fBodyAccelerationSignal-mean()-Y" "SITTING" 11 -0.934503182830189
"fBodyAccelerationSignal-mean()-Y" "SITTING" 12 -0.942768016862745
"fBodyAccelerationSignal-mean()-Y" "SITTING" 13 -0.959673916122449
"fBodyAccelerationSignal-mean()-Y" "SITTING" 14 -0.932644766111111
"fBodyAccelerationSignal-mean()-Y" "SITTING" 15 -0.938926430779661
"fBodyAccelerationSignal-mean()-Y" "SITTING" 16 -0.961456685507246
"fBodyAccelerationSignal-mean()-Y" "SITTING" 17 -0.96992798921875
"fBodyAccelerationSignal-mean()-Y" "SITTING" 18 -0.976538530350877
"fBodyAccelerationSignal-mean()-Y" "SITTING" 19 -0.960763181917808
"fBodyAccelerationSignal-mean()-Y" "SITTING" 20 -0.945198619242424
"fBodyAccelerationSignal-mean()-Y" "SITTING" 21 -0.968060947058824
"fBodyAccelerationSignal-mean()-Y" "SITTING" 22 -0.939546007903226
"fBodyAccelerationSignal-mean()-Y" "SITTING" 23 -0.953460406470588
"fBodyAccelerationSignal-mean()-Y" "SITTING" 24 -0.962773200147059
"fBodyAccelerationSignal-mean()-Y" "SITTING" 25 -0.959117259384615
"fBodyAccelerationSignal-mean()-Y" "SITTING" 26 -0.954299410641026
"fBodyAccelerationSignal-mean()-Y" "SITTING" 27 -0.974057855571429
"fBodyAccelerationSignal-mean()-Y" "SITTING" 28 -0.946351650416667
"fBodyAccelerationSignal-mean()-Y" "SITTING" 29 -0.969609501666667
"fBodyAccelerationSignal-mean()-Y" "SITTING" 30 -0.954076042258065
"fBodyAccelerationSignal-mean()-Y" "STANDING" 1 -0.977070847735849
"fBodyAccelerationSignal-mean()-Y" "STANDING" 2 -0.959871697407407
"fBodyAccelerationSignal-mean()-Y" "STANDING" 3 -0.908075353770492
"fBodyAccelerationSignal-mean()-Y" "STANDING" 4 -0.889549205
"fBodyAccelerationSignal-mean()-Y" "STANDING" 5 -0.890796360535714
"fBodyAccelerationSignal-mean()-Y" "STANDING" 6 -0.930336471754386
"fBodyAccelerationSignal-mean()-Y" "STANDING" 7 -0.941883783773585
"fBodyAccelerationSignal-mean()-Y" "STANDING" 8 -0.9500491
"fBodyAccelerationSignal-mean()-Y" "STANDING" 9 -0.944849431777778
"fBodyAccelerationSignal-mean()-Y" "STANDING" 10 -0.923378745227273
"fBodyAccelerationSignal-mean()-Y" "STANDING" 11 -0.968703072553191
"fBodyAccelerationSignal-mean()-Y" "STANDING" 12 -0.932775677704918
"fBodyAccelerationSignal-mean()-Y" "STANDING" 13 -0.959427618245614
"fBodyAccelerationSignal-mean()-Y" "STANDING" 14 -0.942178248333333
"fBodyAccelerationSignal-mean()-Y" "STANDING" 15 -0.943348788679245
"fBodyAccelerationSignal-mean()-Y" "STANDING" 16 -0.96931401525641
"fBodyAccelerationSignal-mean()-Y" "STANDING" 17 -0.97417056948718
"fBodyAccelerationSignal-mean()-Y" "STANDING" 18 -0.961239135479452
"fBodyAccelerationSignal-mean()-Y" "STANDING" 19 -0.952872872465753
"fBodyAccelerationSignal-mean()-Y" "STANDING" 20 -0.898194212465753
"fBodyAccelerationSignal-mean()-Y" "STANDING" 21 -0.949694904269663
"fBodyAccelerationSignal-mean()-Y" "STANDING" 22 -0.929161387619048
"fBodyAccelerationSignal-mean()-Y" "STANDING" 23 -0.962831825294118
"fBodyAccelerationSignal-mean()-Y" "STANDING" 24 -0.948970158405797
"fBodyAccelerationSignal-mean()-Y" "STANDING" 25 -0.959846189054054
"fBodyAccelerationSignal-mean()-Y" "STANDING" 26 -0.958402317837838
"fBodyAccelerationSignal-mean()-Y" "STANDING" 27 -0.961356141125
"fBodyAccelerationSignal-mean()-Y" "STANDING" 28 -0.893430392658228
"fBodyAccelerationSignal-mean()-Y" "STANDING" 29 -0.973345770461538
"fBodyAccelerationSignal-mean()-Y" "STANDING" 30 -0.919475121186441
"fBodyAccelerationSignal-mean()-Y" "WALKING" 1 0.0897127264021053
"fBodyAccelerationSignal-mean()-Y" "WALKING" 2 -0.0219048103322034
"fBodyAccelerationSignal-mean()-Y" "WALKING" 3 -0.0813024353275862
"fBodyAccelerationSignal-mean()-Y" "WALKING" 4 -0.14939963344
"fBodyAccelerationSignal-mean()-Y" "WALKING" 5 0.00946037755178572
"fBodyAccelerationSignal-mean()-Y" "WALKING" 6 0.140781621991228
"fBodyAccelerationSignal-mean()-Y" "WALKING" 7 -0.0641564202736842
"fBodyAccelerationSignal-mean()-Y" "WALKING" 8 0.316982393333333
"fBodyAccelerationSignal-mean()-Y" "WALKING" 9 -0.257677616153846
"fBodyAccelerationSignal-mean()-Y" "WALKING" 10 0.0533911909886792
"fBodyAccelerationSignal-mean()-Y" "WALKING" 11 -0.0830478435976271
"fBodyAccelerationSignal-mean()-Y" "WALKING" 12 -0.071302455092
"fBodyAccelerationSignal-mean()-Y" "WALKING" 13 0.0955150666694737
"fBodyAccelerationSignal-mean()-Y" "WALKING" 14 -0.174601844847458
"fBodyAccelerationSignal-mean()-Y" "WALKING" 15 0.111321097159074
"fBodyAccelerationSignal-mean()-Y" "WALKING" 16 -0.321500667843137
"fBodyAccelerationSignal-mean()-Y" "WALKING" 17 -0.0650267622126229
"fBodyAccelerationSignal-mean()-Y" "WALKING" 18 -0.24360627125
"fBodyAccelerationSignal-mean()-Y" "WALKING" 19 0.169258575663077
"fBodyAccelerationSignal-mean()-Y" "WALKING" 20 0.403465950921569
"fBodyAccelerationSignal-mean()-Y" "WALKING" 21 0.0338465813711538
"fBodyAccelerationSignal-mean()-Y" "WALKING" 22 0.145367520371739
"fBodyAccelerationSignal-mean()-Y" "WALKING" 23 -0.0724367317966102
"fBodyAccelerationSignal-mean()-Y" "WALKING" 24 -0.203193741396552
"fBodyAccelerationSignal-mean()-Y" "WALKING" 25 -0.251880271094595
"fBodyAccelerationSignal-mean()-Y" "WALKING" 26 -0.146702156576271
"fBodyAccelerationSignal-mean()-Y" "WALKING" 27 -0.13678354122807
"fBodyAccelerationSignal-mean()-Y" "WALKING" 28 -0.127912276044444
"fBodyAccelerationSignal-mean()-Y" "WALKING" 29 -0.0349642325433962
"fBodyAccelerationSignal-mean()-Y" "WALKING" 30 -0.193856663907692
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 1 0.00154990783591837
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 2 0.278345041765957
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 3 -0.00770048300204082
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 4 -0.129606639466667
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 5 0.0792280694042553
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 6 0.339771173822917
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 7 -0.145302311446808
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 8 0.388412779763158
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 9 -0.183120455428571
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 10 0.00904660360263158
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 11 0.0247508134326087
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 12 0.150510001156522
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 13 -0.0364535247659574
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 14 0.3714824704
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 15 0.167518099964286
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 16 -0.134598352726809
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 17 -0.130272514565217
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 18 -0.309049613818182
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 19 0.494457802230769
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 20 0.524187686888889
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 21 0.181138042506667
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 22 0.225766560777778
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 23 0.0959432893981482
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 24 -0.0861829752472727
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 25 -0.196381053741379
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 26 -0.006237000044
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 27 -0.0626729573068182
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 28 0.186441733869565
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 29 -0.02122937175
"fBodyAccelerationSignal-mean()-Y" "WALKING_DOWNSTAIRS" 30 -0.0216637054241935
"fBodyAccelerationSignal-mean()-Y" "WALKING_UPSTAIRS" 1 -0.190976720811321
"fBodyAccelerationSignal-mean()-Y" "WALKING_UPSTAIRS" 2 0.00992445881854167
"fBodyAccelerationSignal-mean()-Y" "WALKING_UPSTAIRS" 3 -0.0788094156644068
"fBodyAccelerationSignal-mean()-Y" "WALKING_UPSTAIRS" 4 -0.117109161492308
"fBodyAccelerationSignal-mean()-Y" "WALKING_UPSTAIRS" 5 0.0728903158085106
"fBodyAccelerationSignal-mean()-Y" "WALKING_UPSTAIRS" 6 0.0978035099588235
"fBodyAccelerationSignal-mean()-Y" "WALKING_UPSTAIRS" 7 -0.381590523137255
"fBodyAccelerationSignal-mean()-Y" "WALKING_UPSTAIRS" 8 0.263431399878049
